year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,1,-0.18959,0.15280,0.03830,0.10384,0.05633,0.08902,-0.31500,-0.09100
1850,2,-0.17722,0.15968,0.04269,0.10881,0.05463,0.09408,-0.29900,-0.07900
1850,3,-0.48693,0.16254,0.04227,0.11054,0.05000,0.09957,-0.59900,-0.39900
1850,4,-0.20998,0.14761,0.04208,0.10994,0.04595,0.07629,-0.31300,-0.13150
1850,5,-0.28046,0.14537,0.04250,0.11001,0.03788,0.07608,-0.36600,-0.21450
1850,6,-0.06259,0.13596,0.03918,0.10003,0.03707,0.07463,-0.14500,0.00500
1850,7,-0.22695,0.13496,0.03644,0.10103,0.04103,0.07070,-0.31650,-0.15100
1850,8,-0.26194,0.13100,0.03782,0.09648,0.04262,0.06788,-0.35350,-0.18200
1850,9,-0.30269,0.12920,0.03464,0.09956,0.04819,0.05709,-0.41000,-0.21650
1850,10,-0.36302,0.13526,0.03526,0.09903,0.05490,0.06506,-0.48500,-0.26750
1850,11,-0.16824,0.14075,0.03525,0.10021,0.05748,0.07226,-0.29650,-0.06950
1850,12,-0.21550,0.15444,0.04040,0.11165,0.05788,0.08002,-0.34400,-0.11550
1851,1,-0.18112,0.15758,0.04231,0.11693,0.06026,0.07574,-0.31650,-0.07250
1851,2,-0.38696,0.14600,0.04495,0.10443,0.05340,0.07443,-0.50700,-0.29150
1851,3,-0.23490,0.15036,0.04300,0.11330,0.04970,0.07384,-0.34600,-0.14550
1851,4,-0.33714,0.15508,0.04098,0.12150,0.04555,0.07438,-0.43950,-0.25900
1851,5,-0.22131,0.14915,0.04113,0.11712,0.03868,0.07309,-0.30800,-0.15500
1851,6,-0.12453,0.15541,0.04295,0.11469,0.03929,0.08723,-0.21000,-0.05350
1851,7,-0.19758,0.14128,0.04010,0.10797,0.04112,0.07075,-0.28600,-0.12250
1851,8,-0.25549,0.13791,0.03839,0.10573,0.04220,0.06771,-0.34700,-0.17850
1851,9,0.02322,0.15985,0.04139,0.11721,0.04522,0.08974,-0.07650,0.10400
1851,10,0.05722,0.15282,0.03999,0.11128,0.05118,0.08218,-0.05750,0.14500
