year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,1,-0.52292,0.18959,0.04920,0.14076,0.03650,0.11125,-0.59900,-0.45300
1850,2,-0.53527,0.17766,0.04689,0.12561,0.04046,0.10932,-0.61700,-0.45600
1850,3,-0.68956,0.21404,0.05878,0.15051,0.03971,0.13464,-0.77150,-0.61300
1850,4,-0.50258,0.19351,0.05382,0.14348,0.04323,0.10998,-0.59150,-0.41950
1850,5,-0.21060,0.18809,0.05270,0.13063,0.04061,0.11785,-0.29900,-0.13600
1850,6,-0.49124,0.19918,0.05208,0.13510,0.04212,0.13013,-0.58150,-0.41300
1850,7,-0.18507,0.18757,0.05083,0.14617,0.03900,0.09856,-0.27200,-0.11850
1850,8,-0.37418,0.18582,0.05086,0.14359,0.03681,0.09985,-0.45650,-0.30800
1850,9,-0.41172,0.19509,0.05854,0.15679,0.03366,0.09441,-0.48750,-0.35200
1850,10,-0.35520,0.20083,0.05702,0.15895,0.03397,0.10325,-0.43150,-0.29550
1850,11,-0.09671,0.17251,0.05112,0.14265,0.03565,0.07434,-0.17500,-0.03050
1850,12,-0.24281,0.15226,0.04268,0.11728,0.03577,0.07954,-0.31900,-0.17500
1851,1,-0.35725,0.16030,0.04566,0.12652,0.03363,0.08045,-0.42650,-0.29500
1851,2,-0.22698,0.16295,0.04285,0.12238,0.04073,0.08989,-0.31000,-0.15100
1851,3,-0.26563,0.16723,0.04753,0.13397,0.04322,0.07674,-0.35400,-0.18400
1851,4,-0.52447,0.18094,0.05291,0.14242,0.04253,0.08858,-0.61500,-0.44500
1851,5,-0.35527,0.18687,0.05616,0.14525,0.04338,0.09375,-0.45000,-0.27500
1851,6,-0.41058,0.17888,0.05134,0.13427,0.04417,0.09687,-0.50600,-0.32800
1851,7,-0.15416,0.18849,0.05195,0.14228,0.04173,0.10414,-0.24700,-0.07900
1851,8,-0.22086,0.17522,0.05171,0.14931,0.03326,0.06802,-0.29550,-0.16150
1851,9,-0.26738,0.19653,0.06065,0.15630,0.03058,0.09787,-0.33600,-0.21300
1851,10,-0.26681,0.21757,0.05909,0.16905,0.03356,0.11892,-0.34200,-0.20800
1851,11,-0.10104,0.20598,0.05941,0.16174,0.03125,0.10844,-0.16900,-0.04450
1851,12,-0.14855,0.18086,0.04906,0.13223,0.03321,0.10824,-0.21900,-0.08750
1852,1,-0.67896,0.17332,0.04642,0.12752,0.03502,0.10198,-0.75000,-0.60800
1852,2,-0.58300,0.18001,0.05174,0.14254,0.03671,0.08979,-0.65700,-0.50850
1852,3,-0.54628,0.18219,0.05148,0.14238,0.03878,0.09362,-0.62600,-0.46800
1852,4,-0.55423,0.19097,0.05319,0.14655,0.04123,0.10229,-0.64200,-0.47250
1852,5,-0.27003,0.17215,0.04554,0.12939,0.04363,0.09442,-0.36500,-0.18450
1852,6,-0.26926,0.16822,0.04672,0.13056,0.04350,0.08471,-0.36400,-0.18400
1852,7,0.24622,0.17942,0.05172,0.13361,0.03912,0.10067,0.15900,0.32050
1852,8,-0.45674,0.17307,0.04885,0.14124,0.03582,0.07958,-0.53700,-0.39250
1852,9,-0.19781,0.19020,0.05898,0.14540,0.03082,0.10298,-0.26650,-0.14250
1852,10,-0.33475,0.18036,0.05251,0.14733,0.03082,0.08437,-0.40300,-0.27800
1852,11,-0.17480,0.16424,0.04778,0.12770,0.03271,0.08554,-0.24500,-0.11000
1852,12,-0.08384,0.15650,0.04226,0.11563,0.03228,0.09108,-0.15100,-0.01850
1853,1,-0.48381,0.15769,0.04344,0.12544,0.03324,0.07835,-0.54950,-0.42000
1853,2,-0.56343,0.15072,0.04072,0.10906,0.03758,0.08804,-0.63300,-0.48950
1853,3,-0.17160,0.14986,0.04219,0.10948,0.03840,0.08496,-0.24300,-0.09650
1853,4,-0.33387,0.14649,0.04068,0.10743,0.03882,0.08220,-0.41300,-0.25900
1853,5,-0.41767,0.15934,0.04090,0.10717,0.04075,0.10282,-0.50400,-0.34050
1853,6,-0.32447,0.15540,0.03869,0.10804,0.03942,0.09708,-0.40850,-0.25050
1853,7,-0.15730,0.14897,0.03921,0.10213,0.03681,0.09417,-0.23850,-0.09200
1853,8,-0.17185,0.14768,0.03997,0.10821,0.03325,0.08601,-0.24500,-0.11100
1853,9,-0.39402,0.14242,0.03969,0.11517,0.02854,0.06805,-0.45550,-0.34050
1853,10,-0.46832,0.14506,0.04190,0.11684,0.02548,0.07061,-0.52400,-0.42150
1853,11,-0.18484,0.13594,0.04032,0.10806,0.02687,0.06674,-0.24250,-0.13600
1853,12,-0.46882,0.13753,0.04023,0.10926,0.02532,0.06869,-0.52250,-0.42200
1854,1,-0.35742,0.12735,0.03804,0.10197,0.03069,0.05859,-0.41600,-0.29800
1854,2,-0.34393,0.12399,0.03554,0.09771,0.03271,0.05911,-0.40650,-0.28050
1854,3,-0.45471,0.13140,0.03685,0.10322,0.03636,0.06270,-0.52650,-0.38400
1854,4,-0.51711,0.14195,0.04027,0.10437,0.03802,0.07867,-0.59350,-0.44300
1854,5,-0.48388,0.13980,0.04073,0.11157,0.03770,0.06337,-0.56350,-0.41150
1854,6,-0.23660,0.14656,0.03697,0.11005,0.03782,0.08107,-0.31700,-0.16450
1854,7,-0.50085,0.14063,0.03956,0.11058,0.03299,0.06997,-0.57400,-0.43950
1854,8,-0.49060,0.11584,0.03510,0.08799,0.03216,0.05841,-0.56150,-0.42950
1854,9,-0.21258,0.13118,0.03833,0.10202,0.02923,0.06692,-0.27600,-0.15800
1854,10,-0.35849,0.11950,0.03386,0.09037,0.02799,0.06466,-0.41950,-0.30800
1854,11,-0.44881,0.11582,0.03282,0.08424,0.02588,0.06761,-0.50450,-0.40250
1854,12,-0.66275,0.12784,0.03321,0.08282,0.02552,0.08793,-0.71650,-0.61500
1855,1,-0.34806,0.11818,0.03055,0.07611,0.03013,0.07958,-0.40750,-0.28950
1855,2,-0.26243,0.12419,0.02883,0.09056,0.03341,0.07262,-0.32600,-0.19700
1855,3,-0.42176,0.11999,0.03155,0.08661,0.03508,0.06834,-0.48950,-0.35300
1855,4,-0.50653,0.12743,0.03262,0.09077,0.03711,0.07455,-0.58000,-0.43350
1855,5,-0.53824,0.13585,0.03501,0.10269,0.03597,0.07342,-0.61150,-0.46800
1855,6,-0.53235,0.13028,0.03318,0.08906,0.03759,0.08080,-0.61050,-0.45950
1855,7,-0.46035,0.12281,0.03046,0.09052,0.03567,0.06846,-0.53600,-0.39450
1855,8,-0.22754,0.12711,0.02722,0.09106,0.03537,0.07664,-0.30200,-0.16250
1855,9,-0.31052,0.12657,0.02915,0.09145,0.02992,0.07690,-0.37450,-0.25400
1855,10,-0.42491,0.12374,0.02701,0.08659,0.02753,0.07954,-0.48350,-0.37300
1855,11,-0.35238,0.12096,0.02948,0.09319,0.02851,0.06531,-0.41250,-0.29950
1855,12,-0.22911,0.13099,0.02939,0.08896,0.02780,0.08722,-0.28800,-0.17750
1856,1,-0.11759,0.12228,0.02632,0.07988,0.02955,0.08370,-0.17450,-0.06000
1856,2,-0.28115,0.11869,0.02781,0.08346,0.03296,0.07254,-0.34350,-0.21650
1856,3,-0.23646,0.11725,0.02978,0.09038,0.03379,0.05958,-0.30000,-0.16950
1856,4,-0.51736,0.11848,0.02810,0.09319,0.03446,0.05811,-0.58650,-0.44900
1856,5,-0.24333,0.12663,0.02791,0.08849,0.03674,0.07795,-0.31800,-0.17050
1856,6,-0.39162,0.13099,0.03032,0.09575,0.03571,0.07612,-0.46800,-0.32350
1856,7,-0.26790,0.12756,0.02745,0.09657,0.03499,0.07049,-0.34300,-0.20350
1856,8,-0.20009,0.11743,0.02671,0.08890,0.03226,0.06428,-0.26900,-0.13800
1856,9,-0.38807,0.11637,0.02697,0.08063,0.03018,0.07350,-0.45200,-0.32850
1856,10,-0.50564,0.11043,0.02769,0.08271,0.02785,0.06173,-0.56350,-0.45450
1856,11,-0.33359,0.11976,0.03031,0.09533,0.02635,0.06036,-0.38850,-0.28500
1856,12,-0.48714,0.11885,0.02772,0.08270,0.02643,0.07628,-0.54050,-0.43700
1857,1,-0.30110,0.12090,0.02822,0.08133,0.02703,0.08048,-0.35400,-0.24800
1857,2,-0.50432,0.11822,0.02771,0.09115,0.02889,0.06375,-0.55900,-0.44700
1857,3,-0.70335,0.12187,0.02774,0.09276,0.02998,0.06768,-0.76200,-0.64350
1857,4,-0.54935,0.11804,0.02597,0.08647,0.03435,0.06785,-0.61800,-0.48050
1857,5,-0.51470,0.11240,0.02665,0.08245,0.03454,0.06271,-0.58700,-0.44700
1857,6,-0.52496,0.11437,0.02681,0.08500,0.03391,0.06314,-0.59650,-0.45950
1857,7,-0.65900,0.11224,0.02689,0.08503,0.03166,0.06034,-0.72700,-0.59700
1857,8,-0.50398,0.12163,0.02759,0.08837,0.02981,0.07304,-0.56750,-0.44350
1857,9,-0.49134,0.11939,0.02867,0.08331,0.02880,0.07524,-0.55150,-0.43550
1857,10,-0.44561,0.11843,0.02621,0.09488,0.02472,0.06104,-0.49700,-0.39650
1857,11,-0.57609,0.12322,0.02993,0.08607,0.02549,0.07893,-0.62950,-0.52900
1857,12,-0.45487,0.12712,0.02612,0.08744,0.02586,0.08464,-0.50800,-0.40600
1858,1,-0.58456,0.11605,0.02530,0.08425,0.02671,0.07082,-0.63450,-0.53100
