year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,1,-0.36914,0.15500,0.04401,0.12240,0.04983,0.06799,-0.47150,-0.27300
1850,2,-0.40356,0.16936,0.04685,0.13433,0.04975,0.07725,-0.50750,-0.30900
1850,3,-0.81389,0.19628,0.05236,0.13958,0.05155,0.11682,-0.91800,-0.71350
1850,4,-0.39765,0.16579,0.05287,0.14118,0.05243,0.04484,-0.50450,-0.29600
1850,5,-0.06982,0.18091,0.05653,0.15320,0.05231,0.05768,-0.17550,0.03200
1850,6,-0.11169,0.18053,0.04860,0.14286,0.05464,0.08266,-0.22200,-0.00500
1850,7,-0.15271,0.16363,0.04890,0.13169,0.05125,0.06644,-0.26150,-0.05650
1850,8,-0.30931,0.16331,0.05124,0.13296,0.04821,0.06358,-0.41150,-0.21850
1850,9,-0.21735,0.15001,0.04725,0.12320,0.05023,0.05068,-0.32450,-0.12300
1850,10,-0.40931,0.14967,0.04297,0.12179,0.05086,0.05602,-0.51750,-0.31350
1850,11,-0.07765,0.13591,0.04092,0.11413,0.05211,0.03248,-0.18700,0.02100
1850,12,-0.10780,0.14767,0.04408,0.12369,0.05189,0.04327,-0.21450,-0.00800
1851,1,-0.32375,0.16518,0.04802,0.13819,0.05031,0.05788,-0.42750,-0.22900
1851,2,-0.41746,0.14712,0.04554,0.12200,0.04940,0.04738,-0.51650,-0.32450
1851,3,-0.36811,0.14270,0.04621,0.11676,0.04999,0.04578,-0.47150,-0.27450
1851,4,-0.60732,0.15948,0.04865,0.13769,0.05060,0.03932,-0.71150,-0.51200
1851,5,-0.34101,0.16698,0.05116,0.14048,0.05076,0.05432,-0.44400,-0.24550
1851,6,-0.20985,0.17271,0.04994,0.14260,0.05339,0.06440,-0.31600,-0.10850
1851,7,-0.05802,0.15246,0.04816,0.12985,0.05088,0.03842,-0.16300,0.03800
1851,8,-0.01958,0.17049,0.04801,0.14203,0.04699,0.06620,-0.11950,0.06750
1851,9,0.13279,0.19330,0.05849,0.14817,0.04618,0.09929,0.03650,0.21900
1851,10,-0.16994,0.15961,0.04901,0.12875,0.04656,0.06579,-0.26850,-0.08350
1851,11,0.01878,0.17156,0.05298,0.14537,0.04968,0.05500,-0.08500,0.11200
1851,12,-0.02142,0.17000,0.05244,0.14079,0.04943,0.06231,-0.12200,0.07150
1852,1,-0.45789,0.16116,0.04732,0.12457,0.04678,0.07764,-0.55200,-0.36250
1852,2,-0.57206,0.16815,0.05044,0.14593,0.04739,0.04680,-0.66700,-0.47600
1852,3,-0.46764,0.15084,0.04527,0.12885,0.04966,0.04043,-0.56700,-0.36650
1852,4,-0.26188,0.15297,0.05080,0.12174,0.05029,0.05891,-0.36300,-0.15950
1852,5,-0.15089,0.15522,0.04853,0.12000,0.05034,0.06932,-0.25300,-0.04900
1852,6,0.11674,0.15486,0.04446,0.12432,0.05191,0.06210,0.01450,0.22350
1852,7,0.19501,0.15296,0.04541,0.12828,0.04958,0.04919,0.09500,0.29550
1852,8,-0.13481,0.16665,0.04610,0.13471,0.04706,0.07270,-0.23200,-0.04100
1852,9,-0.11317,0.17349,0.05566,0.14030,0.04496,0.07275,-0.20850,-0.02400
1852,10,0.02910,0.15901,0.04803,0.13220,0.04681,0.05753,-0.06900,0.12200
1852,11,-0.05433,0.14805,0.04611,0.12017,0.04771,0.05546,-0.15300,0.04100
1852,12,-0.01259,0.13732,0.04228,0.10653,0.04756,0.05882,-0.10800,0.08500
1853,1,-0.11118,0.14514,0.04238,0.11899,0.04846,0.05255,-0.20500,-0.01750
1853,2,-0.04273,0.12580,0.04056,0.10326,0.04784,0.03504,-0.13600,0.04950
1853,3,0.02936,0.13994,0.04122,0.11554,0.04804,0.04718,-0.06300,0.12250
1853,4,-0.21650,0.15320,0.04309,0.10234,0.04832,0.09384,-0.31000,-0.12350
1853,5,-0.24684,0.13908,0.03943,0.10691,0.04877,0.06308,-0.34250,-0.15300
1853,6,-0.20057,0.14371,0.03766,0.10054,0.04988,0.08147,-0.29750,-0.10450
1853,7,0.07410,0.14595,0.03955,0.11343,0.04902,0.06684,-0.02350,0.16850
1853,8,-0.26531,0.15356,0.04106,0.11703,0.04630,0.07783,-0.35600,-0.17650
1853,9,-0.29488,0.13921,0.04128,0.10440,0.04561,0.06853,-0.38700,-0.20750
